1/1-phi0,m,r,infid^{-1},Character,Cross_Character,Sample#,Variance,Variance(amp),Character(amp),Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,
485143168.9,0.006737947,485209251.3,11008.672,nan,nan,480503.5,1.38E-06,2667.350529,nan,nan,nan,nan,nan,240251.75
438754130.4,0.006909387,438816974.3,10472.669,nan,nan,457262.5,1.45E-06,2538.334464,nan,nan,nan,nan,nan,228631.25
396800730.2,0.007085189,396860494.3,9962.718,nan,nan,435141,1.52E-06,2415.536008,nan,nan,nan,nan,nan,217570.5
358858842.9,0.007265464,358915678.1,9467.955,nan,nan,413248,1.60E-06,2294.003449,nan,nan,nan,nan,nan,206624
324544896.6,0.007450326,324598946.5,9010.32,nan,nan,393552.5,1.68E-06,2184.670973,nan,nan,nan,nan,nan,196776.25
293511995.7,0.007639892,293563396.8,8564.174,nan,nan,373867,1.77E-06,2075.393084,nan,nan,nan,nan,nan,186933.5
265446413.7,0.007834281,265495295.8,8144.28,nan,nan,355529,1.86E-06,1973.597578,nan,nan,nan,nan,nan,177764.5
240064422.2,0.008033616,240110908.7,7745.714,nan,nan,338155.5,1.96E-06,1877.154531,nan,nan,nan,nan,nan,169077.75
217109421.8,0.008238022,217153630.2,7368.123,nan,nan,321759.5,2.06E-06,1786.136695,nan,nan,nan,nan,nan,160879.75
196349348.7,0.00844763,196391390.6,7005.1006,nan,nan,305823,2.16E-06,1697.671169,nan,nan,nan,nan,nan,152911.5
177574328.5,0.008662571,177614310.1,6665.5605,nan,nan,291164.5,2.27E-06,1616.300074,nan,nan,nan,nan,nan,145582.25
160594554.4,0.008882981,160632576.7,6338.2,nan,nan,276835,2.39E-06,1536.754227,nan,nan,nan,nan,nan,138417.5
145238368.6,0.009108999,145274527.6,6026.299,nan,nan,263156.5,2.51E-06,1460.823217,nan,nan,nan,nan,nan,131578.25
131350526.6,0.009340768,131384913.5,5729.9233,nan,nan,250169.5,2.64E-06,1388.730018,nan,nan,nan,nan,nan,125084.75
118790628.1,0.009578434,118823329.9,5452.459,nan,nan,238202,2.78E-06,1322.29651,nan,nan,nan,nan,nan,119101
107431697.6,0.009822147,107462796.9,5181.3516,nan,nan,226188.5,2.92E-06,1255.607676,nan,nan,nan,nan,nan,113094.25
97158900.67,0.010072061,97188475.94,4928.677,nan,nan,215213,3.07E-06,1194.682265,nan,nan,nan,nan,nan,107606.5
87868383.1,0.010328334,87896509.04,4686.373,nan,nan,204600,3.23E-06,1135.767117,nan,nan,nan,nan,nan,102300
79466220.95,0.010591127,79492968.6,4457.2837,nan,nan,194624,3.40E-06,1080.388467,nan,nan,nan,nan,nan,97312
71867471.09,0.010860607,71892908,4240.9546,nan,nan,185270.5,3.57E-06,1028.467247,nan,nan,nan,nan,nan,92635.25
64995312.48,0.011136944,65019502.88,4032.0154,nan,nan,176095.5,3.76E-06,977.5330389,nan,nan,nan,nan,nan,88047.75
58780269.52,0.011420311,58803274.51,3833.04,nan,nan,167345.5,3.95E-06,928.9613628,nan,nan,nan,nan,nan,83672.75
53159509.73,0.011710889,53181387.4,3646.4282,nan,nan,159252.5,4.16E-06,884.0364059,nan,nan,nan,nan,nan,79626.25
48076208.55,0.01200886,48097014.15,3467.7998,nan,nan,151454.5,4.37E-06,840.7495337,nan,nan,nan,nan,nan,75727.25
43478974.84,0.012314413,43498760.92,3298.0571,nan,nan,144050.5,4.59E-06,799.6478538,nan,nan,nan,nan,nan,72025.25
39321331.4,0.01262774,39340147.92,3135.9282,nan,nan,136947.5,4.83E-06,760.2186449,nan,nan,nan,nan,nan,68473.75
35561245.09,0.012949039,35579139.56,2982.086,nan,nan,130222.5,5.08E-06,722.8871087,nan,nan,nan,nan,nan,65111.25
32160701.87,0.013278514,32177719.49,2835.9053,nan,nan,123838,5.34E-06,687.4441486,nan,nan,nan,nan,nan,61919
29085322.56,0.013616372,29101506.3,2697.3015,nan,nan,117802,5.62E-06,653.9383428,nan,nan,nan,nan,nan,58901
26304015.24,0.013962826,26319405.97,2565.3235,nan,nan,112047.5,5.91E-06,621.993636,nan,nan,nan,nan,nan,56023.75
23788660.95,0.014318095,23803297.53,2439.2578,nan,nan,106526.5,6.21E-06,591.3450098,nan,nan,nan,nan,nan,53263.25
21513829.4,0.014682404,21527748.8,2319.8584,nan,nan,101318.5,6.53E-06,562.4349466,nan,nan,nan,nan,nan,50659.25
19456521.93,0.015055982,19469759.3,2206.0771,nan,nan,96345,6.87E-06,534.8284762,nan,nan,nan,nan,nan,48172.5
17595938.96,0.015439065,17608527.71,2097.6765,nan,nan,91599,7.22E-06,508.4801308,nan,nan,nan,nan,nan,45799.5
15913269.72,0.015831896,15925241.65,1995.1499,nan,nan,87134,7.59E-06,483.6953638,nan,nan,nan,nan,nan,43567
14391502.11,0.016234722,14402887.46,1897.4458,nan,nan,82870.5,7.99E-06,460.0271541,nan,nan,nan,nan,nan,41435.25
13015250.72,0.016647797,13026078.22,1804.778,nan,nan,78837.5,8.40E-06,437.6391052,nan,nan,nan,nan,nan,39418.75
11770601.24,0.017071382,11780898.24,1715.9882,nan,nan,74944,8.83E-06,416.0264252,nan,nan,nan,nan,nan,37472
10644969.86,0.017505746,10654762.35,1632.0249,nan,nan,71283,9.29E-06,395.703382,nan,nan,nan,nan,nan,35641.5
9626975.982,0.017951161,9636288.694,1552.0089,nan,nan,67786.5,9.76E-06,376.2950145,nan,nan,nan,nan,nan,33893.25
8706327.246,0.018407909,8715183.693,1476.088,nan,nan,64477,1.03E-05,357.9219667,nan,nan,nan,nan,nan,32238.5
7873715.416,0.018876279,7882137.96,1403.7162,nan,nan,61314.5,1.08E-05,340.3661262,nan,nan,nan,nan,nan,30657.25
7120722.305,0.019356565,7128732.211,1335.1278,nan,nan,58327.5,1.14E-05,323.7853617,nan,nan,nan,nan,nan,29163.75
6439734.667,0.019849073,6447352.159,1269.6547,nan,nan,55465.5,1.19E-05,307.8977849,nan,nan,nan,nan,nan,27732.75
5823867.23,0.020354111,5831111.539,1207.3414,nan,nan,52739.5,1.26E-05,292.7651537,nan,nan,nan,nan,nan,26369.75
5266893.086,0.020872,5273782.501,1148.2593,nan,nan,50162.5,1.32E-05,278.4600709,nan,nan,nan,nan,nan,25081.25
4763180.741,0.021403066,4769732.657,1091.9823,nan,nan,47704,1.39E-05,264.8122327,nan,nan,nan,nan,nan,23852
4307637.183,0.021947644,4313868.14,1038.451,nan,nan,45364.5,1.46E-05,251.8272828,nan,nan,nan,nan,nan,22682.25
3895656.393,0.022506079,3901582.121,987.59216,nan,nan,43144.5,1.53E-05,239.5023785,nan,nan,nan,nan,nan,21572.25
3523072.778,0.023078722,3528708.236,939.2686,nan,nan,41036.5,1.61E-05,227.8021926,nan,nan,nan,nan,nan,20518.25
3186119.06,0.023665935,3191478.473,893.2604,nan,nan,39027.5,1.70E-05,216.6497924,nan,nan,nan,nan,nan,19513.75
2881388.188,0.02426809,2886485.086,849.4793,nan,nan,37114.5,1.78E-05,206.0305184,nan,nan,nan,nan,nan,18557.25
2605798.895,0.024885566,2610646.143,807.9565,nan,nan,35305.5,1.88E-05,195.9862941,nan,nan,nan,nan,nan,17652.75
2356564.545,0.025518752,2361174.38,768.32825,nan,nan,33572.5,1.97E-05,186.3662137,nan,nan,nan,nan,nan,16786.25
2131164.965,0.02616805,2135549.021,730.71497,nan,nan,31930.5,2.07E-05,177.2529193,nan,nan,nan,nan,nan,15965.25
1927320.96,0.026833868,1931490.303,694.8814,nan,nan,30364,2.18E-05,168.5553496,nan,nan,nan,nan,nan,15182
1742971.276,0.027516627,1746936.429,660.8325,nan,nan,28876.5,2.29E-05,160.2978995,nan,nan,nan,nan,nan,14438.25
1576251.758,0.028216759,1580022.727,628.5249,nan,nan,27468,2.41E-05,152.480321,nan,nan,nan,nan,nan,13734
1425476.503,0.028934704,1429062.806,597.7134,nan,nan,26121,2.54E-05,145.0035009,nan,nan,nan,nan,nan,13060.5
1289120.818,0.029670917,1292531.506,568.4494,nan,nan,24843.5,2.67E-05,137.9113399,nan,nan,nan,nan,nan,12421.75
1165805.805,0.030425862,1169049.484,540.6076,nan,nan,23627.5,2.80E-05,131.1608976,nan,nan,nan,nan,nan,11813.75
1054284.419,0.031200016,1057369.273,514.1496,nan,nan,22472.5,2.95E-05,124.7506751,nan,nan,nan,nan,nan,11236.25
953428.8576,0.031993867,956362.6725,488.9891,nan,nan,21374.5,3.10E-05,118.6549904,nan,nan,nan,nan,nan,10687.25
862219.1653,0.032807917,865009.3428,465.052,nan,nan,20329.5,3.26E-05,112.8533484,nan,nan,nan,nan,nan,10164.75
779732.9164,0.033642679,782386.4959,442.27383,nan,nan,19334.5,3.43E-05,107.3291316,nan,nan,nan,nan,nan,9667.25
705135.8904,0.034498682,707659.5667,420.61865,nan,nan,18388.5,3.61E-05,102.0788767,nan,nan,nan,nan,nan,9194.25
637673.6384,0.035376464,640073.778,400.029,nan,nan,17489.5,3.79E-05,97.08799588,nan,nan,nan,nan,nan,8744.75
576663.8546,0.03627658,578946.5119,380.44437,nan,nan,16634,3.99E-05,92.33972832,nan,nan,nan,nan,nan,8317
521489.4782,0.037199599,523660.4111,361.82745,nan,nan,15821.5,4.19E-05,87.8280048,nan,nan,nan,nan,nan,7910.75
471592.4547,0.038146104,473657.1388,344.11978,nan,nan,15048,4.41E-05,83.53585299,nan,nan,nan,nan,nan,7524
426468.0936,0.039116691,428431.7361,327.2709,nan,nan,14312,4.64E-05,79.44967091,nan,nan,nan,nan,nan,7156
385659.9655,0.040111973,387527.5184,311.2483,nan,nan,13612,4.88E-05,75.5639805,nan,nan,nan,nan,nan,6806
348755.2876,0.04113258,350531.4602,296.0302,nan,nan,12948,5.13E-05,71.87809566,nan,nan,nan,nan,nan,6474
315380.7498,0.042179155,317070.0207,281.54416,nan,nan,12315.5,5.39E-05,68.3661565,nan,nan,nan,nan,nan,6157.75
285198.7406,0.043252358,286805.3689,267.77567,nan,nan,11714.5,5.67E-05,65.03001949,nan,nan,nan,nan,nan,5857.25
257903.9334,0.044352869,259431.9693,254.66713,nan,nan,11141.5,5.96E-05,61.85018472,nan,nan,nan,nan,nan,5570.75
233220.1991,0.04548138,234673.4945,242.2178,nan,nan,10598.5,6.27E-05,58.83433356,nan,nan,nan,nan,nan,5299.25
210897.8146,0.046638606,212280.0325,230.37082,nan,nan,10081,6.59E-05,55.96249589,nan,nan,nan,nan,nan,5040.5
190710.9373,0.047825275,192025.5612,219.10666,nan,nan,9589,6.93E-05,53.2324865,nan,nan,nan,nan,nan,4794.5
172455.322,0.049042139,173705.6648,208.3945,nan,nan,9121.5,7.29E-05,50.63623946,nan,nan,nan,nan,nan,4560.75
155946.2555,0.050289964,157135.4676,198.20213,nan,nan,8676.5,7.66E-05,48.16470673,nan,nan,nan,nan,nan,4338.25
141016.6888,0.051569538,142147.7661,188.5144,nan,nan,8253.5,8.06E-05,45.81678293,nan,nan,nan,nan,nan,4126.75
127515.548,0.052881671,128591.3399,179.2974,nan,nan,7850.5,8.47E-05,43.58195272,nan,nan,nan,nan,nan,3925.25
115306.2069,0.054227188,116329.4228,170.53656,nan,nan,7468.5,8.91E-05,41.45881154,nan,nan,nan,nan,nan,3734.25
104265.1051,0.055606942,105238.3219,162.20213,nan,nan,7104.5,9.37E-05,39.4382895,nan,nan,nan,nan,nan,3552.25
94280.49891,0.057021801,95206.16708,154.27751,nan,nan,6758,9.85E-05,37.51743541,nan,nan,nan,nan,nan,3379
85251.33112,0.05847266,86131.78105,146.73993,nan,nan,6429,0.000103593,35.6900666,nan,nan,nan,nan,nan,3214.5
77086.20922,0.059960435,77923.65712,139.57286,nan,nan,6116,0.000108932,33.95279072,nan,nan,nan,nan,nan,3058
69702.48118,0.061486064,70499.03461,132.75635,nan,nan,5818.5,0.000114545,32.30031753,nan,nan,nan,nan,nan,2909.25
63025.39958,0.063050512,63783.06286,126.27645,nan,nan,5535.5,0.000120448,30.73006749,nan,nan,nan,nan,nan,2767.75
56987.36577,0.064654765,57708.04495,120.11352,nan,nan,5266.5,0.000126655,29.23646988,nan,nan,nan,nan,nan,2633.25
51527.24619,0.066299837,52212.75394,114.25041,nan,nan,5010.5,0.000133181,27.81499358,nan,nan,nan,nan,nan,2505.25
46589.75418,0.067986766,47241.81431,108.67762,nan,nan,4767,0.000140044,26.4646272,nan,nan,nan,nan,nan,2383.5
42124.89078,0.069716617,42745.14264,103.37418,nan,nan,4535.5,0.000147261,25.17860178,nan,nan,nan,nan,nan,2267.75
38087.43912,0.071490482,38677.44172,98.33262,nan,nan,4315.5,0.000154849,23.95655083,nan,nan,nan,nan,nan,2157.75
34436.50708,0.073309481,34997.74303,93.5383,nan,nan,4106,0.000162829,22.79447171,nan,nan,nan,nan,nan,2053
31135.11373,0.075174763,31668.99297,88.97831,nan,nan,3907,0.000171219,21.68902733,nan,nan,nan,nan,nan,1953.5
28149.81527,0.077087505,28657.67865,84.642784,nan,nan,3717.5,0.000180042,20.63823862,nan,nan,nan,nan,nan,1858.75
25450.36676,0.079048915,25933.48943,80.51878,nan,nan,3537.5,0.000189319,19.63847703,nan,nan,nan,nan,nan,1768.75
23009.41624,0.081060231,23469.01086,76.59815,nan,nan,3366.5,0.000199074,18.68831809,nan,nan,nan,nan,nan,1683.25
20802.22802,0.083122722,21239.44783,72.8687,nan,nan,3203.5,0.000209331,17.78425075,nan,nan,nan,nan,nan,1601.75
18806.43251,0.085237691,19222.37421,69.322754,nan,nan,3048.5,0.000220117,16.92484573,nan,nan,nan,nan,nan,1524.25
17001.79989,0.087406474,17397.50647,65.94973,nan,nan,2901.5,0.000231458,16.10713029,nan,nan,nan,nan,nan,1450.75
15370.03551,0.089630438,15746.49884,62.74272,nan,nan,2761.5,0.000243383,15.32983196,nan,nan,nan,nan,nan,1380.75
13894.5948,0.09191099,14252.75814,59.69265,nan,nan,2628,0.000255923,14.5905048,nan,nan,nan,nan,nan,1314
12560.51586,0.094249567,12901.27626,56.791832,nan,nan,2501.5,0.000269108,13.88729788,nan,nan,nan,nan,nan,1250.75
11354.26817,0.096647647,11678.47871,54.033424,nan,nan,2381,0.000282971,13.21866614,nan,nan,nan,nan,nan,1190.5
10263.61559,0.099106744,10572.08758,51.41055,nan,nan,2266.5,0.000297549,12.58296624,nan,nan,nan,nan,nan,1133.25
9277.492664,0.10162841,9570.997636,48.915733,nan,nan,2157.5,0.000312877,11.97817802,nan,nan,nan,nan,nan,1078.75
8385.892567,0.104214236,8665.16426,46.54339,nan,nan,2054,0.000328994,11.40312195,nan,nan,nan,nan,nan,1027
7579.765899,0.106865857,7845.502102,44.28739,nan,nan,1955.5,0.00034594,10.85628312,nan,nan,nan,nan,nan,977.75
6850.929096,0.109584945,7103.793412,42.142056,nan,nan,1862,0.000363758,10.33628245,nan,nan,nan,nan,nan,931
6191.981611,0.112373218,6432.605133,40.10177,nan,nan,1772.5,0.000382493,9.841712472,nan,nan,nan,nan,nan,886.25
5596.231024,0.115232435,5825.213929,38.16152,nan,nan,1688,0.000402192,9.371396843,nan,nan,nan,nan,nan,844
5057.625305,0.118164401,5275.53837,36.31652,nan,nan,1607.5,0.000422903,8.924200884,nan,nan,nan,nan,nan,803.75
4570.691559,0.121170969,4778.077602,34.56184,nan,nan,1531,0.000444679,8.498861509,nan,nan,nan,nan,nan,765.5
4130.480628,0.124254035,4327.855879,32.89321,nan,nan,1458,0.000467575,8.094386516,nan,nan,nan,nan,nan,729
3732.51699,0.127415547,3920.372397,31.306383,nan,nan,1388.5,0.000491647,7.709733406,nan,nan,nan,nan,nan,694.25
3372.753457,0.130657501,3551.555922,29.797451,nan,nan,1322.5,0.000516956,7.343984437,nan,nan,nan,nan,nan,661.25
3047.53019,0.133981942,3217.723754,28.362505,nan,nan,1260,0.000543564,6.996166945,nan,nan,nan,nan,nan,630
2753.537652,0.13739097,2915.544611,26.997843,nan,nan,1200.5,0.000571539,6.665363721,nan,nan,nan,nan,nan,600.25
2487.783092,0.140886737,2642.005068,25.700195,nan,nan,1144,0.000600949,6.350825017,nan,nan,nan,nan,nan,572
2247.560238,0.14447145,2394.379191,24.466213,nan,nan,1090,0.000631867,6.051723314,nan,nan,nan,nan,nan,545
2030.42189,0.148147373,2170.201085,23.292728,nan,nan,1038.5,0.00066437,5.76727606,nan,nan,nan,nan,nan,519.25
1834.155134,0.151916825,1967.240056,22.176743,nan,nan,990,0.000698539,5.496749017,nan,nan,nan,nan,nan,495
1656.758923,0.155782187,1783.478152,21.115608,nan,nan,943.5,0.000734457,5.239542794,nan,nan,nan,nan,nan,471.75
1496.42381,0.1597459,1617.08985,20.10649,nan,nan,899.5,0.000772213,4.994929823,nan,nan,nan,nan,nan,449.75
1351.513609,0.163810464,1466.423678,19.14696,nan,nan,857.5,0.000811899,4.762354914,nan,nan,nan,nan,nan,428.75
1220.548821,0.167978447,1329.985603,18.23448,nan,nan,818,0.000853613,4.541172169,nan,nan,nan,nan,nan,409
1102.191639,0.17225248,1206.423996,17.366802,nan,nan,780,0.000897457,4.330850584,nan,nan,nan,nan,nan,390
995.2323863,0.176635262,1094.516041,16.541727,nan,nan,744,0.000943536,4.13085539,nan,nan,nan,nan,nan,372
898.5772591,0.181129558,993.1554367,15.75719,nan,nan,709.5,0.000991961,3.940690391,nan,nan,nan,nan,nan,354.75
811.2372327,0.185738207,901.3412799,15.011181,nan,nan,677,0.001042851,3.759861154,nan,nan,nan,nan,nan,338.5
732.3180356,0.190464118,818.1680032,14.301827,nan,nan,646,0.001096325,3.58791735,nan,nan,nan,nan,nan,323
661.0110798,0.195310275,742.8162799,13.627316,nan,nan,616.5,0.001152512,3.424413523,nan,nan,nan,nan,nan,308.25
596.5852592,0.200279738,674.5447942,12.986004,nan,nan,588.5,0.001211544,3.268966091,nan,nan,nan,nan,nan,294.25
538.3795334,0.205375643,612.6827998,12.37622,nan,nan,562,0.001273561,3.121157036,nan,nan,nan,nan,nan,281
485.7962199,0.210601208,556.6233871,11.7964325,nan,nan,536.5,0.001338705,2.980617525,nan,nan,nan,nan,nan,268.25
438.2949286,0.215959732,505.8173955,11.245182,nan,nan,512.5,0.001407128,2.846994325,nan,nan,nan,nan,nan,256.25
395.3870768,0.221454597,459.7679053,10.721102,nan,nan,489.5,0.001478986,2.719963002,nan,nan,nan,nan,nan,244.75
356.630929,0.227089274,418.025257,10.222829,nan,nan,468,0.001554442,2.599181876,nan,nan,nan,nan,nan,234
321.6271106,0.232867319,380.1825454,9.749134,nan,nan,447.5,0.001633664,2.484360842,nan,nan,nan,nan,nan,223.75
290.0145519,0.238792381,345.8715444,9.298802,nan,nan,427.5,0.001716826,2.375200487,nan,nan,nan,nan,nan,213.75
261.4668193,0.244868199,314.7590205,8.870728,nan,nan,409,0.001804109,2.271440398,nan,nan,nan,nan,nan,204.5
235.6887985,0.25109861,286.5433988,8.463792,nan,nan,391,0.0018957,2.172798745,nan,nan,nan,nan,nan,195.5
212.4136943,0.257487547,260.9517469,8.077002,nan,nan,374.5,0.001991789,2.079043766,nan,nan,nan,nan,nan,187.25
191.4003178,0.264039044,237.737047,7.7093596,nan,nan,358,0.002092574,1.989927918,nan,nan,nan,nan,nan,179
172.4306336,0.270757237,216.6757285,7.359955,nan,nan,343,0.002198255,1.905234453,nan,nan,nan,nan,nan,171.5
155.307541,0.277646367,197.5654356,7.027904,nan,nan,328.5,0.002309039,1.824748346,nan,nan,nan,nan,nan,164.25
139.8528684,0.284710784,180.2230092,6.7123604,nan,nan,314.5,0.002425134,1.748261062,nan,nan,nan,nan,nan,157.25
125.9055593,0.291954947,164.48266,6.412539,nan,nan,301.5,0.00254675,1.675584704,nan,nan,nan,nan,nan,150.75
113.3200315,0.299383431,150.1943172,6.12769,nan,nan,289,0.0026741,1.606538637,nan,nan,nan,nan,nan,144.5
101.9646943,0.307000924,137.2221346,5.8570933,nan,nan,277.5,0.002807395,1.540947417,nan,nan,nan,nan,nan,138.75
91.72060708,0.314812236,125.443139,5.60007,nan,nan,266,0.002946845,1.478645941,nan,nan,nan,nan,nan,133
82.48026623,0.322822299,114.7460081,5.355978,nan,nan,255.5,0.003092654,1.419478982,nan,nan,nan,nan,nan,127.75
74.14650859,0.331036169,105.0299655,5.124208,nan,nan,245.5,0.003245023,1.3632995,nan,nan,nan,nan,nan,122.75
66.63151966,0.339459032,96.20378029,4.904175,nan,nan,235.5,0.003404139,1.309963317,nan,nan,nan,nan,nan,117.75
59.8559369,0.348096207,88.1848638,4.6953416,nan,nan,226.5,0.003570179,1.259344046,nan,nan,nan,nan,nan,113.25
53.74803882,0.356953144,80.89845179,4.49718,nan,nan,218,0.003743303,1.211310552,nan,nan,nan,nan,nan,109
48.24301181,0.366035438,74.27686562,4.3092012,nan,nan,210,0.003923647,1.165744679,nan,nan,nan,nan,nan,105
43.28228716,0.37534882,68.25884429,4.1309466,nan,nan,202,0.004111322,1.122536845,nan,nan,nan,nan,nan,101
38.81294161,0.384899172,62.78894086,3.961974,nan,nan,194.5,0.004306404,1.081578301,nan,nan,nan,nan,nan,97.25
34.78715533,0.394692523,57.81697724,3.8018737,nan,nan,187.5,0.004508929,1.042770651,nan,nan,nan,nan,nan,93.75
31.16172186,0.404735054,53.29755194,3.6502585,nan,nan,181,0.004718884,1.006019819,nan,nan,nan,nan,nan,90.5
27.89760494,0.415033107,49.189596,3.5067642,nan,nan,174.5,0.004936193,0.971237215,nan,nan,nan,nan,nan,87.25
24.95953788,0.425593184,45.45597265,3.3710518,nan,nan,169,0.005160715,0.938341078,nan,nan,nan,nan,nan,84.5
22.31566132,0.43642195,42.06311704,3.2428043,nan,nan,163,0.005392222,0.907254659,nan,nan,nan,nan,nan,81.5
19.93719569,0.447526243,38.98071245,3.121727,nan,nan,158,0.005630387,0.877906101,nan,nan,nan,nan,nan,79
17.7981451,0.458913072,36.18140022,3.007549,nan,nan,153,0.00587477,0.850229853,nan,nan,nan,nan,nan,76.5
15.87502958,0.470589627,33.64052073,2.900022,nan,nan,148,0.006124799,0.824165497,nan,nan,nan,nan,nan,74
14.14664309,0.48256328,31.33588344,2.7989233,nan,nan,144,0.006379744,0.79965979,nan,nan,nan,nan,nan,72
12.59383461,0.49484159,29.24756436,2.7040505,nan,nan,139.5,0.006638699,0.776662822,nan,nan,nan,nan,nan,69.75
11.19931037,0.507432308,27.35772979,2.6152313,nan,nan,136,0.006900549,0.755133729,nan,nan,nan,nan,nan,68
9.947454927,0.520343384,25.65048592,2.5323155,nan,nan,132,0.007163949,0.735035154,nan,nan,nan,nan,nan,66
8.824169528,0.533582968,24.11175436,2.4551864,nan,nan,129,0.007427283,0.716339423,nan,nan,nan,nan,nan,64.5
7.816725895,0.54715942,22.72917491,2.3837564,nan,nan,125.5,0.007688632,0.699025109,nan,nan,nan,nan,nan,62.75
6.913634103,0.56108131,21.49203774,2.3179758,nan,nan,123,0.007945733,0.683080235,nan,nan,nan,nan,nan,61.5
6.104523123,0.575357427,20.39124914,2.2578335,nan,nan,120,0.00819594,0.668501842,nan,nan,nan,nan,nan,60
5.380032849,0.589996785,19.41933718,2.2033687,nan,nan,118,0.008436177,0.65529978,nan,nan,nan,nan,nan,59
4.731716483,0.605008626,18.57050733,2.1546755,nan,nan,115.5,0.008662887,0.643496662,nan,nan,nan,nan,nan,57.75
4.151952318,0.620402428,17.84076295,2.1119163,nan,nan,114,0.008871988,0.633132164,nan,nan,nan,nan,nan,57
3.633863984,0.636187908,17.22811422,2.0753381,nan,nan,112,0.009058823,0.624265746,nan,nan,nan,nan,nan,56
3.171248373,0.652375033,16.73291107,2.045294,nan,nan,111,0.009218109,0.616983205,nan,nan,nan,nan,nan,55.5
2.75851049,0.668974022,16.35835686,2.0222733,nan,nan,110,0.009343894,0.611403055,nan,nan,nan,nan,nan,55
2.39060457,0.685995355,16.11129342,2.0069437,nan,nan,109,0.009429523,0.607687145,nan,nan,nan,nan,nan,54.5
2.062980868,0.703449778,16.00340652,2.0002127,nan,nan,109,0.009467605,0.606055611,nan,nan,nan,nan,nan,54.5
1.771537563,0.72134831,16.05310505,2.0033164,nan,nan,109,0.009450009,0.606808005,nan,nan,nan,nan,nan,54.5
1.512577298,0.739702251,16.28851766,2.017952,nan,nan,109.5,0.009367881,0.610355632,nan,nan,nan,nan,nan,54.75
1.282767906,0.758523188,16.75241749,2.0464861,nan,nan,111,0.009211687,0.61727222,nan,nan,nan,nan,nan,55.5
1.07910692,0.777823004,17.51062486,2.092285,nan,nan,113,0.008971319,0.628373554,nan,nan,nan,nan,nan,56.5
0.898889504,0.797613884,18.66701689,2.1602669,nan,nan,116,0.008636251,0.644852005,nan,nan,nan,nan,nan,58
0.739679479,0.817908321,20.3918834,2.2578688,nan,nan,120,0.00819579,0.668510432,nan,nan,nan,nan,nan,60
0.599283141,0.838719129,22.97932666,2.3968377,nan,nan,126,0.007639431,0.702195778,nan,nan,nan,nan,nan,63
0.475725611,0.860059446,26.97399631,2.5968246,nan,nan,135,0.006957367,0.750671869,nan,nan,nan,nan,nan,67.5
0.367229467,0.881942744,33.48422518,2.893278,nan,nan,148,0.006141182,0.822530943,nan,nan,nan,nan,nan,74
0.27219544,0.90438284,45.08276538,3.357185,nan,nan,168,0.005184798,0.934979969,nan,nan,nan,nan,nan,84
0.189184978,0.9273939,69.03286252,4.1543,nan,nan,203,0.004085726,1.128197178,nan,nan,nan,nan,nan,101.5
0.116904496,0.950990452,133.7284139,5.7820487,nan,nan,274,0.002846734,1.522756417,nan,nan,nan,nan,nan,137
0.054191152,0.975187393,460.3480364,10.727861,nan,nan,490,0.001478013,2.721600543,nan,nan,nan,nan,nan,245
0,1,inf,inf,nan,nan,0,0,0,nan,nan,nan,nan,nan,0
